ACS,AGER,ASSOC,BASE,CAT,CLOS,CON,DECK,DET,DIV,FINC,FNBS,FOYER,FRAME,GAR,HEAT,HEAT2,LNDR,METRO,MFGS,PATI,PRCH,SEWER,STOR,WAL1,WAL2,WALS,WATER,AREA,BEDR,COMP,FNSQ,FFNSQ,FPLS,FULB,HAFB,LOTV,PVALU,SALE,FSQFS,STRT,CONPR,SLPR,SQFS,WEIGHT,FUEL,FUEL2,FCONPR,FSLPR,AREA_F,FNSQ_F,FFNSQ_F,SLPR_F,FSLPR_F,CONPR_F,FCONPR_F,LOTV_F,SQFS_F,FSQFS_F,PVALU_F,AUTH
1,2,1,1,1,0,2,2,2,1,4,1,1,1,2,2,0,2,1,3,2,1,1,2,5,7,1,1,0,3,0,0,0,1,2,1,0,250900,201506,,201509,0,766100,2495,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201508
1,2,2,1,1,0,2,1,1,1,0,2,1,1,3,2,0,3,1,3,2,2,2,2,5,2,1,2,74818,4,201405,0,0,1,2,1,180000,444500,201506,,201308,0,595000,3916,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201308
1,2,0,3,1,0,0,1,2,1,0,0,0,1,2,2,0,0,1,3,0,2,1,2,0,0,0,1,0,3,0,0,0,9,3,1,0,312500,0,,201603,0,0,1944,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201512
1,2,1,1,1,0,1,1,1,1,4,2,2,1,1,2,0,2,1,3,2,2,1,2,5,0,2,1,0,3,201510,0,0,1,2,1,0,130000,201512,,201506,0,325000,1680,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201506
1,2,2,1,1,0,2,1,1,1,1,2,1,1,2,3,0,2,1,3,2,1,2,2,5,0,2,2,56628,4,201405,0,0,1,2,1,100000,349000,201504,,201311,0,480000,3000,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201311
1,2,2,1,1,0,2,1,1,1,1,2,2,1,2,2,0,2,1,3,2,2,2,2,5,0,2,1,21092,4,201504,0,0,1,2,1,0,162500,201502,2778,201410,0,0,2778,58,3,0,0,459900,0,0,0,0,0,0,0,0,0,0,0,201410
1,2,2,1,1,0,2,1,1,1,1,1,1,1,2,2,0,3,1,3,2,1,1,2,5,7,1,1,14376,3,201603,700,0,1,2,1,0,0,201511,3240,201510,0,0,3240,45,2,0,0,592000,0,0,0,0,0,0,0,0,0,0,0,201509
1,2,1,1,1,0,1,1,2,1,1,2,2,1,2,3,0,1,1,3,2,1,2,2,5,0,2,1,0,3,201502,0,0,1,2,1,0,300000,201411,2000,201407,0,0,2000,93,2,0,0,297000,0,0,0,0,0,0,0,0,0,0,0,201407
1,2,2,1,1,0,2,1,1,1,0,2,2,1,2,2,0,3,1,3,2,1,2,2,5,0,2,2,39204,3,201409,0,0,0,2,1,88900,0,201505,,201405,0,349900,2042,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201405
1,2,2,1,1,0,2,1,1,1,1,2,2,1,2,2,0,3,1,3,2,1,1,2,5,7,1,1,4356,4,201511,0,0,2,2,1,420000,0,201601,,201504,0,1300000,3784,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201503
1,2,1,1,1,0,2,2,1,1,1,2,1,1,2,2,0,2,1,3,2,1,1,2,5,0,2,1,30492,4,201508,0,0,0,2,1,100000,324400,201501,2700,201501,0,577100,2700,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201501
1,2,2,0,1,0,2,0,1,1,0,0,0,1,2,2,0,3,1,3,0,0,1,2,5,0,0,1,0,3,0,0,0,1,2,1,0,275800,201504,,201604,0,625500,2684,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201603
1,2,2,1,1,0,0,2,1,1,0,2,,1,2,2,0,3,1,1,1,2,1,2,5,0,2,1,8712,4,0,0,0,0,2,1,0,185000,0,,201601,0,0,2592,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201512
1,1,1,1,1,0,1,1,2,1,0,1,0,1,2,2,0,2,1,3,2,1,1,1,5,0,2,1,0,2,201508,750,0,1,2,0,0,652300,201508,2334,201409,0,405000,2334,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201407
1,2,2,1,1,0,2,2,1,1,1,2,1,1,2,2,0,3,1,3,2,1,1,2,5,1,1,1,11250,4,201509,0,0,1,3,1,354400,0,201508,3183,201412,0,1001200,3183,77,2,0,0,1169000,0,0,0,0,1,0,0,1,0,0,0,201412
1,2,1,1,1,0,2,2,1,1,1,2,1,1,2,2,0,2,1,3,2,2,2,2,5,0,2,1,34848,4,201501,0,0,0,2,1,0,331900,201406,2885,201407,0,0,2885,29,3,0,0,610800,0,0,0,0,0,0,0,0,0,0,0,201407
1,2,2,4,1,0,0,1,1,1,0,0,2,1,2,2,0,3,1,3,1,1,1,2,5,0,2,1,9583,5,201601,0,0,1,4,1,0,275000,0,,201508,0,0,3888,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201507
1,2,2,1,1,0,0,1,1,1,0,2,1,1,2,2,0,2,1,3,2,2,1,2,2,5,1,1,11600,4,0,0,0,1,2,1,0,0,0,,201401,0,0,3400,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201312
1,2,2,1,1,0,2,1,1,1,0,2,2,1,2,2,0,2,1,3,2,1,1,2,5,0,2,1,8712,3,201511,0,0,0,2,1,0,92000,201510,1670,201507,0,0,1670,32,3,0,0,194900,0,0,0,0,1,0,0,0,0,0,0,201507
1,2,2,1,1,0,2,2,1,1,0,2,2,1,2,2,0,2,1,3,2,1,1,2,5,0,2,1,5000,4,201502,0,0,0,2,1,0,115000,201511,,201310,0,0,1944,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201309
1,2,2,4,1,0,2,2,1,1,4,0,2,1,4,2,0,2,1,3,1,1,1,2,5,4,1,1,10875,4,201509,0,0,1,3,1,425000,0,201508,,201503,0,1260000,3000,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201503
1,2,1,1,1,0,1,2,1,1,1,2,1,1,2,2,0,2,1,3,1,1,1,2,5,7,1,1,0,3,0,0,0,1,2,1,0,150400,201603,,201510,0,451900,2618,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201509
1,2,2,1,1,0,0,1,1,1,0,2,2,1,2,2,0,3,1,3,2,1,2,2,5,0,2,2,87120,4,0,0,0,1,2,1,0,281700,0,,201507,0,0,3240,32,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201507
1,2,2,1,1,0,2,1,1,1,1,2,1,1,3,2,0,3,1,3,2,1,2,2,1,0,2,2,87120,5,201408,0,0,2,4,1,350000,575000,201510,,201304,0,1225000,4628,53,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201212
1,2,2,2,1,0,2,2,1,1,1,0,2,1,2,2,0,3,1,3,1,1,1,2,1,0,2,1,6000,4,201502,0,0,1,2,1,400000,300000,201505,,201405,0,1150000,3240,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201405
1,1,1,1,1,0,0,2,1,1,0,2,2,1,2,2,0,1,1,3,2,1,2,2,5,0,2,1,0,2,201603,0,0,1,2,0,0,265000,0,2116,201503,0,0,2116,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201501
1,2,1,1,1,0,0,1,1,1,0,2,1,1,2,2,0,3,1,3,2,1,1,2,5,7,1,1,0,4,201504,0,0,1,2,1,0,150400,0,,201410,0,0,2732,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201410
1,2,2,1,1,0,2,1,1,1,0,1,0,1,3,2,0,3,1,3,2,1,1,2,0,0,0,1,43560,5,201501,1200,0,2,3,2,0,675000,201401,,201401,0,0,6048,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201312
1,2,1,3,1,0,1,1,2,1,1,0,1,1,2,2,0,3,1,3,2,2,1,2,5,7,1,1,0,3,201604,0,0,0,2,1,0,183600,201602,1944,201403,0,0,1944,35,2,0,0,320000,0,0,0,0,0,0,0,0,0,0,0,201401
1,2,2,1,1,0,0,1,1,1,0,2,2,1,1,2,0,3,1,3,2,1,1,2,5,0,2,1,7500,3,0,0,0,1,2,1,0,85000,0,,201409,0,0,2100,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201311
